,Date,Polarity Score(Scaled),Polarity Score(Unscaled),Label
221,2009-06-25,0.96788764,0.99989015,1
222,2009-06-26,-1.1256751,-0.9933522,0
223,2009-06-29,0.91484314,0.9493875,1
224,2009-06-30,-1.1326548,-0.9999973,0
225,2009-07-01,0.9666193,0.9986826,1
226,2009-07-02,-1.103502,-0.9722416,0
227,2009-07-06,0.95229423,0.98504394,1
228,2009-07-07,-1.0645251,-0.9351323,0
229,2009-07-08,0.9678467,0.99985117,1
230,2009-07-09,0.9410055,0.9742962,1
231,2009-07-10,-1.1315461,-0.99894184,0
232,2009-07-13,0.96687996,0.99893075,1
233,2009-07-14,0.42867526,0.48651606,1
234,2009-07-15,0.9646296,0.9967882,1
235,2009-07-16,0.96725124,0.99928427,1
236,2009-07-17,0.96791327,0.9999146,1
237,2009-07-20,0.9638628,0.99605817,1
238,2009-07-21,0.9665837,0.9986487,1
239,2009-07-22,-1.1199262,-0.9878788,0
240,2009-07-23,0.96417344,0.9963539,1
241,2009-07-24,0.96637154,0.9984467,1
242,2009-07-27,0.9663793,0.9984541,1
243,2009-07-28,-1.1326575,-1.0,0
244,2009-07-29,-1.104792,-0.9734697,0
245,2009-07-30,0.96573293,0.9978387,1
246,2009-07-31,0.96318924,0.9954169,1
247,2009-08-03,0.9665801,0.99864525,1
248,2009-08-04,0.9679948,0.9999922,1
249,2009-08-05,-1.1251539,-0.9928559,0
250,2009-08-06,-1.1222696,-0.9901099,0
251,2009-08-07,0.93015385,0.9639645,1
252,2009-08-10,-1.1299342,-0.99740714,0
253,2009-08-11,-1.1299362,-0.9974091,0
254,2009-08-12,0.9411608,0.97444403,1
255,2009-08-13,0.96478134,0.9969327,1
256,2009-08-14,-1.1282581,-0.99581146,0
257,2009-08-17,-1.1307253,-0.99816036,0
258,2009-08-18,0.9567959,0.9893299,1
259,2009-08-19,0.9678541,0.9998582,1
260,2009-08-20,0.9579358,0.9904152,1
261,2009-08-21,0.9344221,0.9680282,1
262,2009-08-24,0.9656642,0.9977733,1
263,2009-08-25,0.95922834,0.9916458,1
264,2009-08-26,0.96526206,0.9973904,1
265,2009-08-27,0.9569081,0.98943675,1
266,2009-08-28,-1.1323675,-0.9997239,0
267,2009-08-31,-1.1326568,-0.9999993,0
268,2009-09-01,-1.1267548,-0.99438006,0
269,2009-09-02,-1.1176883,-0.98574805,0
270,2009-09-03,0.9274043,0.9613467,1
271,2009-09-04,0.96688855,0.9989389,1
272,2009-09-08,0.967416,0.9994411,1
273,2009-09-09,0.9417127,0.97496945,1
274,2009-09-10,0.96800256,0.9999996,1
275,2009-09-11,-1.1325474,-0.9998951,0
276,2009-09-14,0.9672618,0.9992943,1
277,2009-09-15,0.96427447,0.9964501,1
278,2009-09-16,0.9651643,0.99729735,1
279,2009-09-17,-0.45609817,-0.35586035,0
280,2009-09-18,0.968003,0.99999994,1
281,2009-09-21,-1.132248,-0.9996101,0
282,2009-09-22,0.9678845,0.99988717,1
283,2009-09-23,-1.1210749,-0.98897237,0
284,2009-09-24,-1.1320369,-0.99940914,0
285,2009-09-25,-0.7796105,-0.6638705,0
286,2009-09-28,0.9675248,0.99954474,1
287,2009-09-29,-0.91176593,-0.78969324,0
288,2009-09-30,-1.1325909,-0.9999366,0
289,2009-10-01,-1.1310838,-0.9985017,0
290,2009-10-02,-1.0994391,-0.9683734,0
291,2009-10-05,0.95569336,0.98828024,1
292,2009-10-06,0.9638677,0.9960629,1
293,2009-10-07,-1.0878984,-0.9573856,0
294,2009-10-08,0.96252686,0.99478626,1
295,2009-10-09,0.94017154,0.97350216,1
296,2009-10-12,0.967229,0.9992631,1
297,2009-10-13,-1.1326252,-0.99996924,0
298,2009-10-14,0.9538441,0.9865195,1
299,2009-10-15,0.9334579,0.9671103,1
300,2009-10-16,-1.1322356,-0.9995984,0
301,2009-10-19,0.965355,0.99747884,1
302,2009-10-20,-1.1265106,-0.9941476,0
303,2009-10-21,-1.0819695,-0.9517408,0
304,2009-10-22,0.9661538,0.9982394,1
305,2009-10-23,-1.1290025,-0.99652,0
306,2009-10-26,-1.1324672,-0.9998188,0
307,2009-10-27,0.96535146,0.9974755,1
308,2009-10-28,-1.118392,-0.98641795,0
309,2009-10-29,0.9519708,0.984736,1
310,2009-10-30,-1.0888717,-0.95831233,0
311,2009-11-02,0.9641711,0.9963517,1
312,2009-11-03,-1.1249408,-0.992653,0
313,2009-11-04,0.9679126,0.99991393,1
314,2009-11-05,0.96431077,0.9964847,1
315,2009-11-06,0.9594362,0.9918437,1
316,2009-11-09,0.93401504,0.9676407,1
317,2009-11-10,0.9674771,0.99949926,1
318,2009-11-11,0.96528065,0.9974081,1
319,2009-11-12,-1.1283098,-0.99586064,0
320,2009-11-13,0.94075423,0.97405696,1
321,2009-11-16,0.8933567,0.92893064,1
322,2009-11-17,0.9664651,0.9985358,1
323,2009-11-18,-1.132656,-0.99999857,0
324,2009-11-19,-1.0097626,-0.8829941,0
325,2009-11-20,-1.128394,-0.9959408,0
326,2009-11-23,0.9677751,0.99978304,1
327,2009-11-24,-1.1324612,-0.9998131,0
328,2009-11-25,0.9618944,0.9941841,1
329,2009-11-27,-0.9707684,-0.84586835,0
330,2009-11-30,0.9668927,0.9989429,1
331,2009-12-01,0.96540284,0.99752444,1
332,2009-12-02,-1.1326355,-0.99997896,0
333,2009-12-03,-1.1318586,-0.99923927,0
334,2009-12-04,0.880106,0.91631484,1
335,2009-12-07,0.96721464,0.9992494,1
336,2009-12-08,-1.1252575,-0.9929546,0
337,2009-12-09,0.9477889,0.9807545,1
338,2009-12-10,0.96367043,0.99587506,1
339,2009-12-11,0.96618783,0.9982718,1
340,2009-12-14,0.9669283,0.99897677,1
341,2009-12-15,0.3879968,0.44778684,0
342,2009-12-16,-1.1197016,-0.98766494,0
343,2009-12-17,-1.127748,-0.9953258,0
344,2009-12-18,0.95942175,0.99182993,1
345,2009-12-21,0.8444324,0.88235074,1
346,2009-12-22,0.92610526,0.96010995,1
347,2009-12-23,0.9659866,0.9980802,1
348,2009-12-24,0.9679977,0.999995,1
349,2009-12-28,0.9678445,0.9998491,1
350,2009-12-29,-1.1206399,-0.9885583,0
351,2009-12-30,0.96795446,0.99995375,1
352,2009-12-31,-0.86201525,-0.7423265,0
353,2010-01-04,0.7239729,0.7676635,1
354,2010-01-05,-1.1309453,-0.9983698,0
355,2010-01-06,0.967977,0.9999752,1
356,2010-01-07,0.96783555,0.99984056,1
357,2010-01-08,0.96651495,0.99858326,1
358,2010-01-11,0.96788985,0.99989223,1
359,2010-01-12,-0.73079914,-0.6173981,0
360,2010-01-13,0.95792663,0.99040645,1
361,2010-01-14,0.95410097,0.98676413,1
362,2010-01-15,-1.1247298,-0.99245214,0
363,2010-01-19,0.96641284,0.99848604,1
364,2010-01-20,-0.9169491,-0.794628,0
365,2010-01-21,-1.1084565,-0.9769586,0
366,2010-01-22,-1.1139609,-0.9821993,0
367,2010-01-25,0.9641457,0.9963275,1
368,2010-01-26,-1.1308982,-0.99832493,0
369,2010-01-27,0.9554978,0.98809403,1
370,2010-01-28,-1.132,-0.9993739,0
371,2010-01-29,-1.1320109,-0.9993844,0
372,2010-02-01,0.9672065,0.99924165,1
373,2010-02-02,0.9674998,0.9995209,1
374,2010-02-03,-1.132656,-0.99999857,0
375,2010-02-04,0.7595811,0.80156535,0
376,2010-02-05,0.96576923,0.99787325,1
377,2010-02-08,-1.1318989,-0.99927765,0
378,2010-02-09,0.9282019,0.9621061,1
379,2010-02-10,-1.129568,-0.99705845,0
380,2010-02-11,0.96731794,0.99934775,1
381,2010-02-12,-1.1257588,-0.99343175,0
382,2010-02-16,0.96773654,0.9997463,1
383,2010-02-17,0.967814,0.99982005,1
384,2010-02-18,0.9553959,0.987997,1
385,2010-02-19,0.96521,0.99734086,1
386,2010-02-22,-1.0034109,-0.8769467,0
387,2010-02-23,-0.88096315,-0.76036644,0
388,2010-02-24,0.9462679,0.9793064,1
389,2010-02-25,-1.1319596,-0.9993355,0
390,2010-02-26,0.9565313,0.989078,1
391,2010-03-01,0.96795714,0.9999563,1
392,2010-03-02,0.96772933,0.9997394,1
393,2010-03-03,-1.0626029,-0.9333022,0
394,2010-03-04,0.9676677,0.99968076,1
395,2010-03-05,0.95733684,0.9898449,1
396,2010-03-08,-1.1225187,-0.990347,0
397,2010-03-09,0.96784574,0.9998503,1
398,2010-03-10,0.96297705,0.9952149,1
399,2010-03-11,0.96646315,0.9985339,1
400,2010-03-12,0.9679938,0.99999124,1
401,2010-03-15,0.9674765,0.9994987,1
402,2010-03-16,0.9679673,0.99996597,1
403,2010-03-17,0.9672587,0.99929136,1
404,2010-03-18,0.96691,0.99895936,1
405,2010-03-19,-1.1199518,-0.98790306,0
406,2010-03-22,0.9618498,0.99414164,1
407,2010-03-23,0.77804345,0.819143,1
408,2010-03-24,-1.132656,-0.9999985,0
409,2010-03-25,0.919919,0.9542201,1
410,2010-03-26,0.96629,0.9983691,1
411,2010-03-29,0.47086084,0.5266802,1
412,2010-03-30,0.91753095,0.9519465,1
413,2010-03-31,-1.1315565,-0.9989518,0
414,2010-04-01,0.9518989,0.98466754,1
415,2010-04-05,0.9679997,0.99999684,1
416,2010-04-06,-1.1326575,-1.0,0
417,2010-04-07,-1.1301031,-0.99756795,0
418,2010-04-08,0.96765065,0.99966455,1
419,2010-04-09,0.9660951,0.9981835,1
420,2010-04-12,0.9603305,0.99269515,1
421,2010-04-13,0.9637194,0.9959217,1
422,2010-04-14,0.96761674,0.99963224,1
423,2010-04-15,0.96743315,0.9994575,1
424,2010-04-16,-1.1181513,-0.9861889,0
425,2010-04-19,0.87368655,0.91020304,1
426,2010-04-20,0.9340606,0.96768403,1
427,2010-04-21,0.96465254,0.9968101,1
428,2010-04-22,0.9512213,0.98402244,1
429,2010-04-23,0.9673629,0.99939054,1
430,2010-04-26,0.9679993,0.9999964,1
431,2010-04-27,-1.1264528,-0.9940926,0
432,2010-04-28,0.96710956,0.9991494,1
433,2010-04-29,0.9398922,0.9732362,1
434,2010-04-30,-1.0776354,-0.94761443,0
435,2010-05-03,0.96710765,0.99914753,1
436,2010-05-04,-0.87881464,-0.75832087,0
437,2010-05-05,-1.1121441,-0.9804695,0
438,2010-05-06,-1.1323463,-0.99970365,0
439,2010-05-07,-1.1319377,-0.9993146,0
440,2010-05-10,0.9675454,0.9995643,1
441,2010-05-11,-1.12723,-0.9948326,0
442,2010-05-12,0.9670543,0.99909675,1
443,2010-05-13,-1.1260637,-0.9937222,0
444,2010-05-14,-1.1326461,-0.9999891,0
445,2010-05-17,0.96224767,0.9945204,1
446,2010-05-18,-1.1296643,-0.9971502,0
447,2010-05-19,-1.1300128,-0.99748194,0
448,2010-05-20,-1.1252242,-0.9929229,0
449,2010-05-21,0.9611823,0.99350613,1
450,2010-05-24,-1.1303439,-0.99779725,0
451,2010-05-25,-1.1064857,-0.9750823,0
452,2010-05-26,-1.1222979,-0.9901367,0
453,2010-05-27,0.9669582,0.99900526,1
454,2010-05-28,-1.0518922,-0.92310476,0
455,2010-06-01,-1.1326555,-0.9999981,0
456,2010-06-02,0.7686746,0.8102231,1
457,2010-06-03,0.95249766,0.98523766,1
458,2010-06-04,-1.0895222,-0.9589317,0
459,2010-06-07,-1.1321372,-0.9995045,0
460,2010-06-08,0.96790576,0.99990743,1
461,2010-06-09,-0.8905087,-0.7694546,0
462,2010-06-10,0.9188329,0.95318604,1
463,2010-06-11,0.96777445,0.9997824,1
464,2010-06-14,-1.1271142,-0.99472225,0
465,2010-06-15,0.95225745,0.98500896,1
466,2010-06-16,0.9617173,0.9940155,1
467,2010-06-17,0.9439855,0.9771334,1
468,2010-06-18,0.9640109,0.9961992,1
469,2010-06-21,-1.1229964,-0.9908019,0
470,2010-06-22,-1.1285298,-0.99607,0
471,2010-06-23,0.9497704,0.98264104,1
472,2010-06-24,-1.131857,-0.99923784,0
473,2010-06-25,-1.1096442,-0.9780894,0
474,2010-06-28,-1.1325854,-0.99993134,0
475,2010-06-29,-1.1322054,-0.9995695,0
476,2010-06-30,-1.1309949,-0.99841696,0
